Area,Date,Revision,Location,NMC,Description,Format,Type,Sheets,Notes
Abbotsford,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,7,3 parts
Acton,1934,,MDL G 3401 G475 1878-,9269,BW,microfiche,,,
Acton Vale,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,14,Old Fort William
Acton Vale,1957,,MDL B2,,COLOUR,paper,plans,1-14,
Ailsa Craig,1906,,MDL G 3401 G475 1878-,9270,BW,microfiche,,,
Ajax,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,23,Old Port Arthur
Ajax,1960,,MDL B2,,COLOUR,paper,plans,"1-8, 13-20",incomplete set
Albernie & Port Albernie,1954,1957,Fisher Rare Book Library,,COLOUR,paper,plans,25,
Albert,1934,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Alberton,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,8,
Alexandria,1917,,Fisher Rare Book Library,,COLOUR,paper,plans,7,1 sheet
Alexandria,1917,1926,MDL G 3401 G475 1878-,9272,BW,microfiche,,,
Alexandria,1926,,MDL B2,,COLOUR,paper,slips,Trans. 1-4,
Alexandria,1965,,MDL B2,,BW,paper,index,,streets
Alfred,1915,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Alliston,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Alliston,1926,,MDL B2,,COLOUR,paper,plans (large),1,incomplete set
Alma,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,18,
Almonte,1879,1884,MDL G 3401 G475,93466,BW,microfiche,,,
Almonte,1879,1884,MDL G 3401 G475 1878-,93540,COLOUR,microfiche,,,
Almonte,1879,1884,MDL G 3401 G475 1878-,93538,COLOUR,microfiche,,,
Almonte,1889,1902,MDL G 3401 G475 1878-,93465,BW,microfiche,,,
Almonte,1889,1902,MDL G 3401 G475 1878-,93542,COLOUR,microfiche,,,
Almonte,1950,,Fisher Rare Book Library,,COLOUR,paper,plans,8,7 sheets
Almonte,1950,,MDL B2,,COLOUR,paper,plans (large),1,incomplete set
Almonte,1964,,MDL B2,,BW,paper,index,,streets and blocks
Alton,1894,,MDL G 3401 G475 1878-,9276,BW,microfiche,,,
Alvinston,1927,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Alvinston,1927,,MDL B2,,COLOUR,paper,plans (large),1-3,complete set
Amherst,1904,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Amherst,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,30,
"Amherst, Ns",1959,,MDL B2,,COLOUR,paper,plans,1-25,complete set
Amherstburg,1901,1906,MDL G 3401 G475 1878-,9278,BW,microfiche,,,
Amherstburg,1917,1926,Fisher Rare Book Library,,COLOUR,paper,plans,6,
Amherstburg,1917,1926,MDL B2,,COLOUR,paper,plans (large),1-6,complete set
Amherstburg,1938,,MDL G 3401 G475 1878-,9280,BW,microfiche,,,
Amos,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,14,
Andover & Perth,1964,,Fisher Rare Book Library,,COLOUR,paper,plans,13,
Andover & Perth,1964,,MDL B2,,COLOUR,paper,plans,1-11,complete set
Anjou,1961,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
Annapolic Royal,1951,,MDL B2,,COLOUR,paper,plans,1-8,complete set
Annapolis Royal,1951,,Fisher Rare Book Library,,COLOUR,paper,plans,8,
Ansonville,1928,,Fisher Rare Book Library,,COLOUR,paper,plans,,
Ansonville,1928,,MDL B2,,COLOUR,paper,plans (large),1-3,complete set
Ansonville,1952,,MDL B2,,BW,paper,index,,streets
Antigonish,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,20,
Antigonish,1955,,MDL B2,,COLOUR,paper,plans,1-16,complete set
