CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
001,Geological Map of Canada,"This CD-ROM has been created as a companion to the 1996 printed Geological Map of Canada (Map 1860A). The CD-ROM is not just a digital version of Map 1860A: it contains a complete bilingual GIS spatial database from which a variety of thematic geological maps can be created. Map 1860A is just one of those themes. Included on the CD-ROM are all of the Arc/Info files used in the production of the printed map, including a bilingual database. In addition, the data is provided in several common interchange formats (*.E00, *.SHP). This CD-ROM also includes a limited edition of SurView, a viewing application for Microsoft Windows, developed at the Geological Survey of Canada and originally released as GSC Open File 2661. Surview can display, print, and query the *.SHP files. This provides an opportunity for those without specialized GIS software to delve into the realm of digital geoscience data and explore the new Geological Map of Canada on their own PC",,,"Restricted to U of T faculty, staff, and students.","Douglas, Robert John Wilson, Geological Survey of Canada",,1997,CANADA (ENTITY),GEOLOGY,1997,,"Douglas, Robert John Wilson, Geological Survey of Canada",Natural Resources Canada,,Raster; Vector,,,,Ottawa,,Natural Resources Canada,Citation,None,,1997
002,Digital Soil Map of the World and Derived Soil Properties,Consists of ten map sheets,,,Publicly accessible,FAO and UNESCO,,1995,WORLD (ENTITY),SOILS,1995,,FAO and UNESCO,FAO and UNESCO,,Raster; Vector,Spherical,,,,Geographic,FAO,None,None,1:5000000,1995
003,Global GIS Database: Digital Atlas of Africa,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by comput",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,AFRICA,BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; LAND USE; PLACENAMES; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-B,,,,United States Geological Survey,Citation,None,1:1000000,2001
004,Digital Cartographic Reference Base Ver 2.0,"Description of Data Set: Intergraph Microstation Graphic Design Files of Southern Ontario (no topology): single line roads; drainage; text - city/towns, etc.; administrative boundaries. Current Applications of the Data Set: To create medium and small scale cartographic products (road maps, etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated Highway Information System. Part of a larger data set or linked to other geographical or non-geographical information or relevant legislation: To create medium and small scale cartographic products (road maps, etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated Highway Information System. Variables and Attributes or Group of Attributes: Type of roads; Classification of populated entities; Railway/Airport Service; Ontario Provincial Police (OPP) Stations; Park Types. NAD DCRB:",,,"Restricted to U of T faculty, staff, and students.","Geomatics Office, Ontario Ministry of Transportation",,2001,ONTARIO,BASE MAPS; BOUNDARIES - POLITICAL; HIGHWAYS; PARKS; PLACENAMES; POLICE; POLITICAL; RAILROADS; RECREATION,,,,Ontario Ministry of Transportation,,Vector,,2,,,,Ontario Ministry of Transportation,Citation,None,,2001
005,Digital Cartographic Reference Base Ver 3.0,"Description of Data Set: Intergraph Microstation Graphic Design Files of Southern Ontario (no topology): single line roads; drainage; text - city/towns,etc.; administrative boundaries.

Current Applications of the Data Set: To create medium and small scale cartographic products (road maps, etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated Highway Information System. Part of a larger data set or linked to other geographical or non-geographical information or relevant legislation: To create medium and small scale cartographic products (road maps,etc.). To be used as an electronic index map to link various transportation related data bases within the ministry. Part of the integrated HighwayInformation System.

Variables and Attributes or Group of Attributes: Type of roads; Classification of populated entities; Railway/Airport Service; Park Types; Ontario Provincial Police (OPP) Stations. ",,,"Restricted to U of T faculty, staff, and students.","Geomatics Office, Ontario Ministry of Transportation",,1993,ONTARIO,BASE MAPS; BOUNDARIES - POLITICAL; HIGHWAYS; PARKS; PLACENAMES; POLICE; POLITICAL; RAILROADS; RECREATION,,,,Ontario Ministry of Transportation,,E00,,3,,,,Ontario Ministry of Transportation,None,None,,2001
006,Global GIS Database: Digital Atlas of South Asia,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by computer",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,ASIA; SOUTH ASIA,BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; LAND USE; PLACENAMES; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-C,,,,United States Geological Survey,Citation,None,1:1000000,2001
007,Global GIS Database: Digital Atlas of South Pacific,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by computer",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,SOUTH PACIFIC,BASE MAPS; BOUNDARIES - POLITICAL; CENSUS; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; LAND USE; PLACENAMES; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-D,https://library.utoronto.ca/dataut/maplib/GGDB_SPacific/,,,United States Geological Survey,Citation,None,1:1000000,2001
008,Global GIS Database: Digital Atlas of Central and South America,"The Digital Data Series encompasses a broad range of digital data, including computer programs, interpreted results of investigations, comprehensive reviewed data bases, spatial data sets, digital images and animation, and multimedia presentations that are not intended for printed release. Scientific reports in this series cover a wide variety of subjects on all facets of U.S. Geological Survey investigations and research that are of lasting scientific interest and value. Releases in the Digital Data Series offer access to scientific information that is available in digital form; the information is primarily for viewing, processing, and (or) analyzing by computer",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey,,2001,CENTRAL AMERICA; SOUTH AMERICA,BASE MAPS; BOUNDARIES - POLITICAL; CLIMATE; CULTURAL; HIGHWAYS; HYDROGRAPHY; HYPSOGRAPHY; PLACENAMES; RAILROADS; TOPOGRAPHY; TRANSPORTATION; VEGETATION,2001,,United States Geological Survey,United States Geological Survey,,SHAPEFILE,,Digital Data Series DDS-62-A,,,,United States Geological Survey,Citation,None,1:1000000,2001
009,Boulton Atlas of Toronto 1858,,,,,W.S. & H.C. Boulton.,,,,,,,,,,,,,,,,,,,,
010,Mapart Canada Street Locator,"Containing full-colour, detailed maps of more than 100 000 streets, the Canada Street Locator CD-ROM is an excellent resource for people who travel in Canada. Providing street level detail for every community in Canada with a population of 30 000 or more, the CD also indicates points of interest (with address and telephone information) and contains a full database of schools, hotels, shopping centres and more. The CD enables the user to print in colour or black and white, cut and paste maps into documents, e-mail and invitations, draw routes and measure distances, zoom in and out, and even create your own geographical database of friends, businesses and places to visit.",,,"Restricted to U of T faculty, staff, and students.",Mapart,,2000,CANADA (ENTITY); CANADA (INCLUSIVE),GEOGRAPHICAL NAMES; HOSPITALS; ROADS; STREETS; THEMATIC MAPPING; TOURISM,,,,,,Raster,,,,Oshawa,,Mapart,Citation,None,,2000
