Geography,Call Number,Scale,Location,Index
Afghanistan,7630s 250 1960-,"1:250,000",storage,view index
Africa,8200s 1000 [1901-07],"1:1,000,000",storage,view index
Africa,8200s 1000 1942-,"1:1,000,000",storage,view index
Africa,8200s 2000 1949-,"1:2,000,000",storage,view index
"Africa, East",8320s 250 [192-],"1:250,000",storage,view index
"Africa, East",8320s 500 1942,"1:500,000",storage,view index
"Africa, North",8220s 500 1961-,"1:500,000",storage,view index
Algeria,8240s 50 1938-,"1:50,000",storage,view index
Antarctica,9802s B7 250 1973-,"1:250,000",storage,view index
Antarctica,9802s B7 500 1959-,"1:500,000",storage,view index
Antarctica,9802s B7 200 1968-,"1:200,000",storage,view index
Antarctica,9800s 50 1975- [no index],"1:50,000",storage,view index
Antarctica,9802s A9 250 1962- [no index],"1:250,000",storage,view index
Antartica,9800s 500 1963-U,"1:500,000",storage,view index
"Antartica, Queen Maud Land",9802s D7 250 1952-,"1:250,000",storage,view index
"Antartica, Ross Dependency",9802s R6 250 1961,"1:250,000",storage,view index
Arabian Peninsula,7520s 500 1956-,"1:500,000",storage,view index
Argentina,5350s 250 1952-,"1:250,000",storage,view index
Argentina,5350s 50 1949-,"1:50,000",storage,view index
Argentina,5350s 500 1927-,"1:500,000",storage,view index
Argentina,5350s 100 1929-,"1:100,000",storage,N/A
Australia,8960s 250 1958-,"1:250,000",storage,view index
Australia,8960s 250 1975-,"1:250,000",storage,view index
Australia,8960s 100 1964-,"1:100,000",storage,view index
Austria-Hungary,6030s 75 [1873]-,"1:75,000",microfiche cabinet 5th fl.,view index
Austria-Hungary,6490s 50 1946-,"1:50,000",storage,view index
Austria-Hungary,6030s 75 [1876]-,"1:75,000",storage,view index
Bahamas,4980s 50 1963-,"1:50,000",storage,view index
Barbados,5140s 10 1986,"1:10,000",storage,view index
Barbuda,5032s B3 10 1970-,"1:10,000",storage,view index
Belgium,6010s 100 1942-45,"1:100,000",storage,view index
Belgium,6010s 20 2001-,"1:20,000",storage,view index
Belgium,6010s 50 1952-,"1:50,000",storage,view index
Belize,4820s 50 1965-,"1:50,0000",storage,view index
Bermuda,9120s 10 1965,"1:10,540",storage,view index
Bimini Island,4982s B5 10 1968-,"1:10,000",storage,view index
Bolivia,5320s 50 1968-,"1:50,000",storage,view index
Bolivia,5320s 250 1966-,"1:250,000",storage,view index
Borneo,8100s 200 1964-,"1:200,000",storage,view index
Botswana,8600s 500 1965-,"1:500,000",storage,view index
Botswana,8600s 250 1976- [sample sheet],"1:250,000",storage,view index
Botswana,8600s 125 1955-,"1:125,000",storage,view index
Botswana,8600s 100 1981-,"1:100,000",storage,view index
Botswana,8600s 50 1967-,"1:50,000",storage,view index
Brazil,5400s 100 [193-?-,"1:100,000",storage,N/A
Brazil,5400s 1000 1944-,"1:1,000,000",storage,view index
Brazil,5400s 500 1944-,"1:500,000",storage,view index
Brazil,5400s 250 1949-,"1:250,000",storage,view index
Brazil,5400s 100 1965-,"1:100,000",storage,view index
Brazil,5400s 50 1962-,"1:50,000",storage,view index
"Brazil, Minas Gerais",5572s C3 25 1962,"1:25,000",storage,view index
"Brazil, Northeast",5500s 25 1974-,"1:25,000",storage,view index
"Brazil, Sao Paulo",5605s 250 1954-,"1:250,000",storage,view index
"Brazil, Sao Paulo",5605s 100 1907-,"1:100,000",storage,view index
"Brazil, South",5600s 50 1965-,"1:50,000",storage,view index
Canada,3400s 25 1934-,"1:25,000",storage,
Canada,3400s 50 1948-,"1:50,000",storage,
Canada,R3400s 63 1929?-,"1:63,360",storage,
Canada,R3400s 63-126 1904-,,storage,
Canada,R3400s 126 1920-,"1:126,000",storage,
Canada,3400s 125 1960-,"1:125,000",storage,
Canada,R3400s 250 1904-,"1:250,000",storage,
Canada,3400s 250 1949-,"1:250,000",storage,
Canada,R3400s 500 1904-,"1:500,000",storage,
Canada,3400s 500 1955-,"1:500,000",storage,
Canada,3400s 1000 1913-,"1:1000,000",storage,
Cayman Islands,4962 C3 25 1965,"1:25,000",5th floor,view index
Chad,8720s 200 1973-,"1:200,000",storage,N/A
Chile,5330s 50 [1966]-,"1:50,000",storage,view index
Chile,5330s 100 1959,"1:100,000",storage,view index
Chile,5330s 500 1971-,"1:500,000",storage,view index
China,7820s 250 1951-,"1:250,000",storage,view index 1
,,,,view index 2
China-Turkistan,7880s 500 1900-1915,"1:500,000",storage,view index
Columbia,5290s 100 1948-,"1:100,000",storage,view index
Costa Rica,4860s 50 1955-,"1:50,000",storage,view index
Curacao,5180s 25 1962-,"1:25,000",storage,view index
Cyprus,7450s 25 1960-,"1:25,000",storage,view index
Cyprus,7450s 50 1973-,"1:50,000",storage,view index
Cyprus,7450s 50 1964-,"1:50,000",storage,view index
Cyrenica,8260s 100 1941-,"1:100,000",storage,view index
Denmark,6920s 25 1958-,"1:25,000",storage,view index
Denmark,6920s 100 1950-,"1:100,000",storage,view index
Denmark,6920s 20 1901-,"1:20,000",storage,view index
Denmark,6920s 100 1919-,"1:100,000",storage,view index
Denmark,6920s 50 1959-,"1:50,000",storage,view index
Denmark,6920s 40 1870-,"1:40,000",storage,view index
Djibouti,8362s D5 20 1945,"1:20,000",storage,view index
Ecuador,5300s 50 1961-,"1:50,000",storage,view index
Egypt,8300s 100 1941-,"1:100,000",storage,view index
Egypt,8300s 50 1957-,"1:50,000",storage,view index
Egypt & Cyrenica,8300s 250 [194-],"1:250,000",storage,view index
England,5740s 126 1945-,1:126720,storage,view index
Great Britain,5740s 63 1952-,"1:63,360",storage,view index
England,5740s 50 1972-,"1:50,000",5th floor,view index
England,5740s 25 1964-,"1:25,000",5th floor,view index
England & Wales,5750s 10 1896-,"1:10,000",storage,view index
England & Wales,5750s 253 1943,"1:253,440",storage,view index
England & Wales,5750s 253 1920? [sample sheet],"1:253,440",storage,N/A
England & Wales,5750s 126 1912-1932,"1:126,000",storage,view index
England & Wales,5750s 126 [1903-,"1:126,720",storage,view index
England & Wales,5750s 63 1885-1914,"1:63,360",microfiche cabinet 5th fl.,view index
England & Wales,5750s 253 1940-,"1:253,440",storage,view index
England & Wales,5750s 10 [1943?][sample sheets],"1:10,560",storage,N/A
England & Wales,5750s 63 1805-1874,"1:63,360",storage,view index
England & Wales,5750s 63 1918-1926,"1:63,360",storage,view index
England & Wales,5750s 63 1931-,"1:63,360",storage,view index
England & Wales,5750s 63 [1932?][sample sheet],"1:63,360",storage,N/A
England & Wales,5750s 63 1947-52,"1:63,360",storage,view index
England & Wales,5750s 126 1896-1902? [sample sheets],"1:126,720",storage,N/A
Europe,5700s 500 1941-5,"1:500,000",storage,view index
Europe [sample],5700s 250 1936-,"1:250,000",storage,view index
"Europe, Central",6030s 100 1943-,"1:100,000",storage,view index
"Europe, East",6030s 300 1893,"1:300,000",5th floor,view index
"Europe, East",6030s 200 1890-,"1:200,000",5th floor,view index
"Europe, East",6030s 250 1944-,"1:250,000",5th floor,view index
"Europe, East",6965s 250 1954-,"1:250,000",storage,view index
"Europe, Northwest",5720s N65 250 1941-45,"1:250,000",storage,view index
"Europe, Northwest",5720s N65 250 1914-1917,"1:250,000",storage,view index
Falkland Islands,9802s A6 500 195-,"1:500,000",storage,view index
Finland,6960s 400 1947-,"1:400,000",storage,view index
Finland,6960s 100 1940-,"1:100,000",storage,view index
Formosa,7910s 50 1944-1950,"1:50,000",storage,view index
France,5830s 100 1942-,"1:100,000",storage,view index
France,5830s 50 1922-,"1:50,000",5th floor,view index
France,5830s 250 1940-45,"1:250,000",storage,view index
France,5830s 200 1912-,"1:200,000",5th floor,N/A
France,5830s 100 190-,"1:100,000",storage,view index
France,5830s 86 1744-60,"1:86,400",storage,view index
French West Africa,8740s 200 1923-,"1:200,000",storage,view index
Gambia,8870s 25 1978-,"1:25,000",storage,view index
Gambia,8870s 50 1948-,"1:50,000",storage,view index
Germany,6080s 100 1915-,"1:100,000",storage,N/A
Germany,6080s 250 1944-,"1:250,000",storage,view index
Germany,6080s 100 1927-,"1:100,000",storage,view index
Germany,6080s 100 [186-],"1:100,000",microfiche cabinet 5th fl.,view index
Germany,6080s 50 1958-,"1:50,000",storage,view index
Germany,6080s 25 1877-,"1:25,000",storage,view index
"Germany, Schleswig-Holstein",6310s 100 1955-,"1:100,000",storage,view index
Ghana,8850s 50 1952-,"1:50,000",storage,view index
Ghana,8850s 62 1922-,"1:62,500",storage,view index
Ghana,8850s 125 1907-,"1:125,000",storage,view index
Ghana,8850s 250 1920-,"1:250,000",storage,view index
Gilbert Islands,9480s 25 1976-,"1:25,000",storage,view index
Gilbert Islands,9480s 12 1972-,"1:12,500",storage,view index
"Gilbert Islands, Vaitupu Island",9480s 10 1974-,"1:10,000",storage,view index
Grand Bahama Island,4982s G7 25 1962-,"1:25,000",storage,view index
Greece & Albania,6810s 100 1944-,"1:100,000",storage,view index
Greece & Albania,6810s 250 1943-,"1:250,000",storage,view index
Greenland,3380s 250 1933-,"1:250,000",5th floor,N/A
Grenadine Islands,5130s 10 1967-,"1:10,000",storage,view index
Guadeloupe,5070s 50 1951-,"1:50,000",storage,view index
Guatemala,4810s 250 1959-,"1:250,000",storage,view index
Guatemala,4810s 50 1960-,"1:50,000",storage,view index
Guyana,5250s 50 1953-,"1:50,000",storage,view index
"Guyane, Francaise",5270s 50 1945-,"1:50,000",storage,view index
"Guyane, Francaise",5270s 200 1954-,"1:200,000",storage,view index
Honduras,4830s 50 1955-,"1:50,000",storage,view index
Hong Kong,7940s 25 1957,"1:25,000",storage,view index
Hong Kong,7940s 20 1975,"1:20,000",storage,view index
Hungary,6500s 200 1981,"1:200,000",storage,view index
Iberian Peninsula,6540s 250 1941-,"1:250,000",storage,view index
Iceland,6930s 50 1904-,"1:50,000",storage,view index
Iceland,6930s 25 1988-,1:25000,storage,view index
Iceland,6930s 100 1903-,"1:100,000",storage,view index
India,7640s 63 1904-,"1:63,360",storage,view index
India,7640s 126 1889?-,"1:126,720",storage,N/A
India,7640s 500 1978-,"1:500,000",storage,view index
India and Pakistan,7650s 250 1954-,"1:250,000",storage,view index
Indonesia,8070s 250 195-,"1:250,000",storage,view index
"Indonesia, Java",8090s 250 1924-,"1:250,000",storage,view index
"Indonesia, Java",8090s 250 1985-86,"1:250,000",storage,N/A
Iran,digital collection,"1:250,000",Digital Collection,N/A
Iran,DVD 146,"1:250,000",DVD/CD Collection,N/A
Iraq & Iran,7610s 253 1940-,"1:253,440",5th floor,N/A
