Seq#,Date acq.,Title,Data producer/creator,Notes,
1,1998,"International financial statistics, October 1998",International Monetary Fund,,
2,1999,"International financial statistics, February 1999",International Monetary Fund,,
3,1999,"International financial statistics, March 1999",International Monetary Fund,,
4,1999,"International financial statistics, April 1999",International Monetary Fund,,
5,1999,"International financial statistics, May 1999",International Monetary Fund,,
6,1999,"International financial statistics, July 1999",International Monetary Fund,,
7,1999,"International financial statistics, August 1999",International Monetary Fund,,
8,1999,"International financial statistics, September 1999",International Monetary Fund,,
9,1999,"International financial statistics, November 1999",International Monetary Fund,,
10,2000,"International financial statistics, December 1999",International Monetary Fund,,
11,1999,"International financial statistics, January 1999",International Monetary Fund,,
12,1999,"International financial statistics, October 1999",International Monetary Fund,,
13,1999,"International financial statistics, November 1999",International Monetary Fund,,
14,2000,"International financial statistics, December 1999",International Monetary Fund,c.2,
15,2000,"International financial statistics, January 2000",International Monetary Fund,,
16,2000,"International financial statistics, February 2000",International Monetary Fund,,
17,2000,"International financial statistics, May 2000",International Monetary Fund,,
18,2000,"International financial statistics, July 2000",International Monetary Fund,,
19,2000,"International financial statistics, June 2000",International Monetary Fund,,
20,2001,"International financial statistics, November 2001",International Monetary Fund,,
21,2000,"International financial statistics, November 2000",International Monetary Fund,,
22,2000,"International financial statistics, October 2000",International Monetary Fund,,
23,2000,"International financial statistics, September 2000",International Monetary Fund,,
24,2000,"International financial statistics, August 2000",International Monetary Fund,,
25,2001,"International financial statistics, December 2000",International Monetary Fund,,
26,2001,"International financial statistics, January 2001",International Monetary Fund,,
27,2001,"International financial statistics, February 2001",International Monetary Fund,,
28,2001,"International financial statistics, April 2001",International Monetary Fund,,
29,2001,"International financial statistics, May 2001",International Monetary Fund,,
30,2001,"International financial statistics, June 2001",International Monetary Fund,,
31,2001,"International financial statistics, July 2001",International Monetary Fund,,
32,2001,"International financial statistics, August 2001",International Monetary Fund,,
33,2001,"International financial statistics, September 2001",International Monetary Fund,,
34,2001,"International financial statistics, October 2001",International Monetary Fund,,
35,2002,"International financial statistics, December 2001",International Monetary Fund,,
36,2002,"International financial statistics, January 2002",International Monetary Fund,,
37,2002,"International financial statistics, June 2002",International Monetary Fund,,
38,2002,"International financial statistics, July 2002",International Monetary Fund,,
39,2002,"International financial statistics, August 2002",International Monetary Fund,,
40,2002,"International financial statistics, September 2002",International Monetary Fund,,
41,2002,"International financial statistics, October 2002",International Monetary Fund,,
42,2002,"International financial statistics, November 2002",International Monetary Fund,,
43,2003,"International financial statistics, December 2002",International Monetary Fund,,
44,2003,"International financial statistics, January 2003",International Monetary Fund,,
45,2003,"International financial statistics, February 2003",International Monetary Fund,,
46,2003,"International financial statistics, March 2003",International Monetary Fund,,
47,2003,"International financial statistics, April 2003",International Monetary Fund,,
48,2003,"International financial statistics, May 2003",International Monetary Fund,,
49,2003,"International financial statistics, November 2003",International Monetary Fund,,
50,2004,"International financial statistics, December 2003",International Monetary Fund,,
51,2004,"International financial statistics, January 2004",International Monetary Fund,,
